Ágazat	Bruttó kereset 2024	Típus	Forrás
Pénzügyi szolgáltatás	1018900	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Információ, kommunikáció	995100	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Energiaipar	883800	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Tudományos, műszaki tevékenység	813700	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Közigazgatás	729800	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Bányászat	773300	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Egészségügyi, szociális ellátás	697800	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Feldolgozóipar	672400	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Oktatás	670400	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Művészet, szabadidő	612200	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Szállítás, raktározás	587700	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Kereskedelem	534600	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Víz- és hulladékgazdálkodás	599800	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Ingatlanügyletek	572700	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Adminisztratív szolgáltatások	534600	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Építőipar	516500	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Egyéb szolgáltatás	505100	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Mezőgazdaság	502900	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Szálláshely-szolgáltatás, vendéglátás	408500	KSH szektorok, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Mediánkereset	518800	KSH medián, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
Átlagkereset	642000	KSH medián, átlag	https://www.ksh.hu/gyorstajekoztatok/ker/ker2406.html
PhD ösztöndíj	160000	ELTE, garantált bér	
Tanársegéd	380000	ELTE, garantált bér	https://kat.elte.hu/content/allasfoglalas-a-fenntartoval-folytatott-targyalasokrol.t.39712
Adjunktus	420000	ELTE, garantált bér	https://kat.elte.hu/content/allasfoglalas-a-fenntartoval-folytatott-targyalasokrol.t.39712
Docens	504530	ELTE, garantált bér	https://kat.elte.hu/content/allasfoglalas-a-fenntartoval-folytatott-targyalasokrol.t.39712
Egyetemi tanár	720720	ELTE, garantált bér	https://kat.elte.hu/content/allasfoglalas-a-fenntartoval-folytatott-targyalasokrol.t.39712
Budapesti albétletár, átlag	270000	Költség	https://444.hu/2024/04/15/atlagosan-mar-270-ezer-forintba-kerul-egy-budapesti-alberlet
